780 40
0 13 10
1 17 5
2 32 7
3 29 11
4 30 18
5 30 2
6 31 2
7 39 11
8 33 16
9 0 17
10 21 11
11 32 3
12 27 10
13 21 5
14 15 6
15 21 12
16 29 7
17 32 20
18 34 12
19 20 11
20 1 5
21 9 16
22 38 20
23 8 1
24 19 19
25 20 15
26 30 16
27 19 12
28 5 17
29 7 8
30 13 14
31 23 7
32 28 15
33 2 7
34 35 18
35 34 9
36 38 17
37 30 14
38 3 20
39 36 9
0 2 9
1 33 18
2 22 3
3 24 17
4 33 11
5 30 15
6 0 20
7 37 18
8 10 14
9 5 18
10 0 4
11 12 6
12 33 3
13 0 12
14 1 7
15 30 19
16 37 12
17 8 15
18 34 8
19 0 3
20 35 3
21 6 11
22 36 6
23 27 14
24 14 13
25 21 10
26 19 12
27 28 12
28 9 20
29 1 6
30 29 13
31 16 5
32 17 16
33 11 3
34 9 18
35 24 16
36 30 3
37 7 13
38 20 19
39 8 3
0 11 13
1 39 20
2 8 8
3 4 15
4 27 4
5 19 15
6 3 4
7 36 17
8 36 20
9 16 6
10 7 18
11 38 7
12 2 4
13 34 3
14 18 4
15 17 2
16 6 10
17 7 15
18 39 4
19 22 7
20 16 4
21 35 3
22 26 17
23 22 12
24 26 10
25 34 18
26 9 1
27 19 1
28 33 5
29 37 19
30 21 12
31 26 9
32 6 2
33 6 14
34 28 19
35 30 18
36 30 6
37 15 10
38 2 9
39 16 7
0 34 15
1 17 5
2 13 3
3 34 18
4 28 8
5 0 8
6 33 18
7 16 6
8 7 6
9 23 4
10 17 15
11 13 5
12 25 18
13 22 2
14 31 10
15 35 5
16 9 3
17 21 16
18 22 10
19 30 20
20 1 10
21 4 18
22 38 2
23 14 17
24 38 13
25 23 20
26 6 18
27 24 4
28 23 14
29 36 9
30 15 10
31 36 6
32 38 3
33 32 7
34 8 14
35 12 8
36 4 20
37 19 1
38 23 7
39 16 17
0 27 3
1 16 5
2 19 12
3 20 13
4 21 16
5 18 17
6 17 15
7 34 10
8 11 9
9 29 9
10 36 8
11 29 13
12 2 15
13 7 2
14 36 17
15 21 17
16 4 8
17 2 4
18 23 10
19 8 3
20 13 14
21 15 2
22 20 20
23 22 18
24 21 5
25 28 8
26 39 10
27 11 4
28 37 6
29 38 15
30 21 20
31 32 14
32 37 8
33 3 4
34 17 2
35 11 15
36 32 1
37 30 6
38 0 20
39 30 14
0 19 15
1 24 7
2 9 3
3 29 18
4 25 18
5 3 16
6 9 17
7 12 16
8 31 9
9 19 18
10 8 4
11 32 7
12 10 6
13 7 20
14 1 2
15 19 13
16 0 8
17 11 6
18 32 9
19 31 17
20 31 14
21 33 5
22 29 9
23 32 15
24 19 6
25 10 12
26 2 16
27 8 9
28 20 19
29 36 10
30 37 20
31 13 7
32 13 14
33 37 16
34 21 17
35 38 1
36 33 14
37 32 2
38 1 9
39 1 3
0 19 9
1 30 15
2 7 17
3 33 7
4 6 16
5 38 15
6 2 12
7 17 1
8 9 1
9 0 17
10 11 12
11 18 4
12 23 4
13 27 12
14 30 14
15 13 2
16 26 5
17 5 11
18 8 3
19 16 16
20 24 12
21 24 7
22 29 12
23 29 16
24 4 19
25 38 18
26 10 6
27 29 7
28 25 8
29 0 10
30 21 12
31 17 9
32 0 20
33 2 5
34 23 13
35 36 1
36 13 19
37 39 19
38 39 20
39 22 10
0 28 20
1 11 20
2 4 4
3 26 8
4 0 12
5 8 15
6 15 9
7 38 14
8 35 8
9 16 18
10 22 11
11 19 9
12 36 7
13 3 15
14 4 18
15 27 15
16 15 15
17 32 9
18 2 11
19 16 9
20 1 18
21 1 14
22 4 14
23 9 2
24 9 9
25 36 7
26 36 16
27 38 11
28 33 18
29 1 13
30 33 4
31 33 2
32 11 9
33 10 8
34 14 11
35 27 20
36 26 1
37 25 18
38 11 19
39 18 20
0 22 13
1 4 10
2 37 7
3 25 13
4 33 17
5 17 19
6 0 4
7 1 16
8 12 7
9 34 18
10 34 14
11 4 12
12 0 2
13 6 16
14 8 16
15 21 6
16 25 13
17 4 14
18 24 17
19 27 9
20 12 20
21 12 12
22 19 3
23 35 14
24 11 16
25 5 16
26 10 4
27 10 10
28 4 11
29 39 19
30 8 11
31 21 12
32 31 13
33 32 8
34 10 15
35 1 6
36 15 20
37 0 12
38 22 16
39 7 14
0 21 15
1 4 12
2 16 14
3 31 7
4 24 14
5 10 10
6 25 1
7 18 7
8 37 3
9 19 7
10 3 18
11 7 5
12 0 9
13 23 16
14 2 13
15 16 9
16 4 12
17 7 19
18 10 12
19 22 7
20 36 6
21 15 20
22 26 18
23 1 18
24 25 8
25 7 13
26 14 13
27 28 11
28 5 18
29 33 19
30 22 14
31 3 16
32 24 1
33 23 2
34 11 5
35 7 12
36 1 2
37 24 10
38 37 15
39 32 19
0 8 19
1 5 11
2 25 4
3 26 1
4 12 9
5 7 5
6 5 10
7 14 4
8 24 1
9 19 15
10 8 6
11 14 6
12 35 11
13 16 16
14 30 17
15 38 10
16 4 8
17 7 5
18 7 7
19 0 8
20 22 13
21 39 15
22 11 10
23 3 1
24 29 10
25 14 19
26 31 7
27 24 9
28 7 4
29 36 9
30 5 17
31 2 13
32 21 8
33 39 4
34 16 13
35 11 16
36 5 4
37 9 4
38 3 10
39 26 9
0 34 14
1 3 12
2 10 13
3 16 2
4 38 3
5 34 9
6 15 19
7 10 16
8 17 9
9 30 4
10 26 18
11 29 8
12 18 2
13 39 18
14 20 16
15 37 1
16 22 7
17 25 5
18 7 16
19 36 20
20 8 17
21 29 17
22 11 3
23 30 11
24 15 7
25 13 19
26 2 8
27 37 10
28 13 10
29 35 2
30 10 3
31 26 5
32 38 4
33 23 9
34 25 9
35 7 6
36 1 18
37 8 7
38 13 13
39 29 13
0 35 5
1 38 3
2 12 18
3 9 10
4 34 8
5 24 5
6 1 19
7 37 8
8 21 12
9 12 13
10 15 14
11 30 8
12 39 8
13 19 19
14 21 18
15 35 19
16 6 15
17 25 4
18 20 19
19 11 17
20 32 10
21 31 7
22 20 19
23 22 16
24 31 5
25 33 20
26 20 9
27 20 20
28 24 7
29 20 18
30 21 20
31 37 10
32 27 8
33 1 11
34 15 10
35 28 10
36 38 6
37 30 18
38 37 3
39 25 10
0 28 14
1 17 7
2 5 14
3 2 2
4 26 17
5 33 14
6 23 15
7 34 20
8 13 9
9 20 7
10 4 6
11 9 10
12 24 1
13 12 6
14 22 13
15 35 2
16 2 9
17 11 10
18 0 3
19 39 11
20 24 1
21 16 2
22 21 17
23 38 16
24 27 8
25 10 1
26 28 9
27 23 2
28 17 16
29 17 10
30 2 19
31 9 5
32 33 17
33 31 16
34 9 12
35 24 6
36 27 2
37 38 5
38 0 3
39 11 1
0 10 14
1 37 5
2 3 19
3 19 18
4 1 17
5 12 7
6 19 17
7 4 12
8 6 6
9 36 16
10 25 12
11 27 5
12 32 5
13 9 5
14 34 20
15 21 19
16 10 17
17 32 14
18 22 12
19 7 3
20 21 16
21 30 5
22 19 19
23 38 1
24 4 4
25 8 18
26 11 4
27 17 15
28 15 10
29 38 15
30 25 4
31 21 1
32 19 12
33 2 19
34 9 20
35 19 14
36 20 12
37 2 2
38 1 3
39 24 1
0 13 11
1 32 3
2 31 3
3 20 7
4 24 3
5 13 11
6 21 17
7 23 16
8 4 19
9 23 14
10 20 7
11 25 2
12 10 13
13 18 14
14 9 11
15 35 7
16 34 10
17 23 1
18 28 16
19 38 6
20 10 7
21 0 16
22 26 11
23 39 6
24 4 16
25 38 14
26 9 7
27 34 3
28 6 11
29 6 5
30 19 2
31 21 7
32 14 12
33 5 2
34 24 19
35 10 9
36 29 17
37 35 7
38 32 9
39 2 2
0 26 10
1 17 13
2 18 12
3 10 13
4 25 10
5 13 9
6 31 4
7 39 2
8 15 8
9 13 16
10 0 5
11 4 3
12 9 17
13 17 11
14 25 4
15 19 7
16 34 15
17 9 19
18 10 13
19 5 11
20 30 1
21 28 12
22 8 5
23 37 10
24 8 10
25 13 5
26 38 7
27 11 6
28 24 20
29 27 14
30 1 16
31 28 3
32 1 3
33 10 4
34 20 3
35 24 1
36 18 16
37 11 12
38 29 13
39 2 19
0 37 12
1 17 8
2 31 12
3 7 13
4 37 7
5 38 9
6 9 2
7 32 16
8 5 15
9 33 17
10 8 10
11 2 5
12 9 10
13 23 18
14 13 4
15 20 18
16 38 16
17 7 16
18 23 19
19 0 18
20 4 7
21 36 11
22 38 6
23 37 4
24 10 7
25 10 16
26 8 14
27 22 18
28 6 16
29 3 7
30 17 14
31 11 12
32 11 2
33 5 9
34 13 19
35 17 17
36 24 19
37 5 3
38 2 1
39 1 2
0 17 17
1 5 12
2 0 17
3 20 2
4 31 8
5 37 18
6 32 4
7 15 13
8 3 13
9 1 12
10 3 15
11 37 7
12 14 14
13 21 2
14 23 5
15 31 12
16 22 19
17 8 10
18 38 14
19 28 11
20 24 11
21 13 9
22 5 1
23 18 10
24 28 14
25 7 18
26 14 7
27 30 6
28 4 10
29 16 7
30 24 19
31 32 16
32 20 17
33 24 1
34 22 2
35 2 12
36 18 17
37 25 3
38 16 13
39 8 14
